class,fof_halo_tag,profile_index,properties_index
sloshing_coolcores,1860450673628,5558,5558
sloshing_coolcores,3108202645208,9890,9890
sloshing_coolcores,3794434160730,1547,1547
sloshing_coolcores,1801805776894,2774,2774
sloshing_coolcores,1345360405464,5216,5216
agnheated_or_postmerger,2139915631588,7310,7310
agnheated_or_postmerger,3323154514570,9966,9966
agnheated_or_postmerger,3224877965746,7392,7392
agnheated_or_postmerger,3842127808074,1868,1868
agnheated_or_postmerger,3058680109054,7023,7023
extreme_unrelaxed_top10,3696168995028,9591,9591
extreme_unrelaxed_top10,208460319766,8196,8196
extreme_unrelaxed_top10,1774693858258,932,932
extreme_unrelaxed_top10,3742954230640,7049,7049
extreme_unrelaxed_top10,3841386376924,2074,2074
extreme_unrelaxed_top10,745583146878,5698,5698
extreme_unrelaxed_top10,2555680782680,4129,4129
extreme_unrelaxed_top10,1081688407776,2779,2779
extreme_unrelaxed_top10,2008892728420,3690,3690
extreme_unrelaxed_top10,2739621644252,6316,6316
