# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
           1    123835673828    123835673828    0.03895    0.06038      77.523     6.0010
           4    343571484328    343571484328    0.06714    0.04138     157.938    -1.7335
           6    243240103398    243240103398    0.04544    0.04043     161.541     0.5981
           7    232144215524    232144215524    0.00770    0.02385      71.145     2.4965
           8    377243194442    377243194442    0.02270    0.03691     109.525     2.1756
           9    311522023156    311522023156    0.05465    0.03611     174.758     1.9355
          10    407707400266    407707400266    0.03204    0.01005     186.763     0.4140
          11    119734047278    119734047278    0.03638    0.02253     106.835     1.9015
          14    254365098696    254365098696    0.02390    0.03018     121.219     0.5570
          17    990361310492    990361310492    0.01955    0.01866     158.663     0.5219
          18    873194415268    873194415268    0.01490    0.04056     148.015     0.2465
          23    640452433274    640452433274    0.01429    0.04437     150.296    -1.4918
          25    683323933100    683323933100    0.04099    0.03669     175.029    -0.3105
          26    526797156592    526797156592    0.02268    0.05750     165.070    -1.5791
          30     92772465276     92772465276    0.03703    0.02847     123.582     0.0589
          32    135636505728    135636505728    0.04133    0.06624     161.245    -0.3293
          34    392823849618    392823849618    0.06817    0.05289     164.127     1.4622
          35    449344149670    449344149670    0.03507    0.08169     212.173     0.7855
          36    439187163762    439187163762    0.01676    0.03549     136.110     2.5189
          37    188353393892    188353393892    0.04310    0.06109     182.432     0.2328
          38    237568565428    237568565428    0.06488    0.11474     339.098    -3.1428
          39    201376904758    201376904758    0.03561    0.01209      83.709     2.5907
          41    470308584320    470308584320    0.01191    0.04967     149.905    -0.3799
          42    132131843128    132131843128    0.03546    0.02134     203.993     1.0961
          43    200717272136    200717272136    0.02406    0.01711     217.167    -0.7868
          44    236601895748    236601895748    0.04047    0.05125      60.030     2.2976
          45    325498851970    325498851970    0.03691    0.03632     124.333     2.0010
          47    232179874020    232179874020    0.02531    0.04184     166.145     0.1133
          49    140421231998    140421231998    0.05629    0.00535     110.192     0.5248
          51    287418023518    287418023518    0.02624    0.01195     122.337     2.3244
          52    342984804718    342984804718    0.00443    0.01588     148.299     1.7148
          53    416648511658    416648511658    0.02398    0.06892     161.651    -0.1717
          54    483333281304    483333281304    0.00941    0.01023      37.100     4.2131
          55    254729137536    254729137536    0.03903    0.02180      78.183     1.8635
          56    491911638354    491911638354    0.03514    0.05016     159.311     0.5471
          57    620798724816    620798724816    0.05439    0.06244     132.718    -0.5611
          58    704300940206    704300940206    0.05643    0.02784      33.704     2.3484
          59    664622053702    664622053702    0.02982    0.04194      58.195     1.9582
          62    817027395858    817027395858    0.04053    0.10631      83.030     0.2373
          63    921173073470    921173073470    0.06426    0.03557     291.849    -2.2125
          64    901503212900    901503212900    0.01570    0.04525     257.807    -0.6606
          67    583963811254    583963811254    0.03793    0.03373     167.942    -0.2990
          68    787498640840    787498640840    0.05902    0.02208      86.102     2.2695
          71    970392429926    970392429926    0.05907    0.03830     284.163    -0.0127
          73    627166211304    627166211304    0.03238    0.07203     100.748    -1.0186
          75    495392992920    495392992920    0.02373    0.03924      63.073     2.4616
          76    589381307448    589381307448    0.06986    0.02061     197.047    -1.4895
          78   3999490012804   3999490012804    0.04166    0.01097     346.700    -0.7871
          84    267368475630    267368475630    0.05606    0.05479     169.000    -0.4580
          85    244520214898    244520214898    0.03950    0.04399     193.760     0.7454
          86    154031122444    154031122444    0.02286    0.04463      76.455     4.3080
          90    204808141264    204808141264    0.02707    0.01094     111.273     0.4557
          92     71453573008     71453573008    0.02505    0.04633      51.925     0.4668
          93    478190896772    478190896772    0.03045    0.07891     175.548    -0.3524
          94    210228762090    210228762090    0.06801    0.00761     172.353     0.7938
          95    120367805506    120367805506    0.04831    0.07280     183.785     1.2630
          98    586174456736    586174456736    0.04088    0.16804     318.995    -1.0154
          99    576957028168    576957028168    0.01612    0.03614     143.616     2.2884
         100    557280364246    557280364246    0.04241    0.07068      64.563     0.8398
         109    604585200026    604585200026    0.04685    0.00788      76.015     1.4340
         113    672226411484    672226411484    0.02070    0.01167      69.988     2.7901
         114    860200266272    860200266272    0.02857    0.03263     108.401     1.8464
         115    838597541526    838597541526    0.03978    0.05002     187.007     1.4501
         119   3996353142762   3996353142762    0.04490    0.03915      42.496     0.2006
         123    215658832256    215658832256    0.02383    0.03219     175.253     1.4418
         126    312197235006    312197235006    0.04557    0.07462     299.545    -0.3107
         127     50851689830     50851689830    0.03082    0.03766     315.568    -1.4119
         128     94676530820     94676530820    0.02787    0.08752     169.318     0.7444
         129     60064079978     60064079978    0.05822    0.02287     171.941    -1.4201
         131     15937719554     15937719554    0.03854    0.01967      96.760     3.4830
         133     43895154118     43895154118    0.05625    0.02613     146.148     0.3034
         136    276631947684    276631947684    0.01112    0.01676     146.952     1.5182
         137    845914939504    845914939504    0.02139    0.00549      69.201     2.2233
         138    796705488112    796705488112    0.04714    0.04196     308.218    -0.3892
         139    899905788716    899905788716    0.04784    0.03721     123.709     2.2667
         140    613200624968    613200624968    0.04274    0.03679     285.320    -0.1014
         142    666553207974    666553207974    0.03075    0.03880     172.605    -2.4672
         143    751011664538    751011664538    0.04180    0.04076      46.488     2.3722
         144    914204545026    914204545026    0.05434    0.07361     101.905    -0.0412
         146    620165881728    620165881728    0.03891    0.03024     125.885     0.4138
         147    710660719930    710660719930    0.04117    0.04844     102.732    -0.2394
         151    995804767628    995804767628    0.04960    0.01774     141.951     1.3092
         154   1180554682968   1180554682968    0.04085    0.03549      96.131     1.4977
         155   1212625916688   1212625916688    0.02733    0.01766     135.905     1.4629
         156   1392326107832   1392326107832    0.00947    0.00367      76.841     3.5523
         159   1405040364832   1405040364832    0.05461    0.05138     238.114    -0.6185
         160   1447576856170   1447576856170    0.03095    0.01378     146.178     0.0298
         163   1073556288538   1073556288538    0.02200    0.03855     135.910     1.2590
         167   1307893079794   1307893079794    0.00461    0.03679     261.143     1.0163
         168   1082745268442   1082745268442    0.05403    0.01517     273.561    -3.1208
         172   1467274361502   1467274361502    0.02342    0.01350     103.272     1.4351
         180   1295829060122   1295829060122    0.01071    0.01927      67.214     2.7218
