# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      9208   2599833718698   2599833718698   0.00233   0.01721    121.170    0.5620
     2      1432   3608302269948   3608302269948   0.00238   0.07090    203.255   -1.7560
     3      7782   1797062113384   1797062113384   0.00296   0.01896    174.020    0.2922
     4      7105   3427664130838   3427664130838   0.00336   0.02760     33.350    3.1398
     5      7184   2433578635658   2433578635658   0.00371   0.03967    110.201    0.7322
     6      3692   1571042930150   1571042930150   0.00384   0.03708    209.132   -1.2152
     7      7898    412408425848    412408425848   0.00424   0.02385    196.224    1.9260
     8       279   1388901053880   1388901053880   0.00428   0.00358     59.472    4.4950
     9      8119    203074346212    203074346212   0.00433   0.05289     76.204    2.0773
    10        52    342984804718    342984804718   0.00443   0.01588    148.299    1.7148
    11      3637   1243080602076   1243080602076   0.00455   0.02418     98.142    0.6531
    12       167   1307893079794   1307893079794   0.00461   0.03679    261.143    1.0163
    13      7926    137476373468    137476373468   0.00462   0.02352    160.156    1.6849
    14      8189    858164652182    858164652182   0.00496   0.02239     43.277    2.5444
    15      3830   2013246450368   2013246450368   0.00504   0.04252    143.690    1.9024
    16      8906   3165542518618   3165542518618   0.00507   0.04578    119.868   -0.7630
    17      6312   2574827479256   2574827479256   0.00531   0.01715     76.301    2.5876
    18      7125   3800430266956   3800430266956   0.00534   0.04621    130.131    0.2693
    19      1342   2204260459444   2204260459444   0.00543   0.02201    126.502    0.5556
    20      7383   3893872368326   3893872368326   0.00546   0.05905   7502.251   -0.4533
    21      1700   2260559151562   2260559151562   0.00579   0.02825    152.232    0.5793
    22      7352   3746505642526   3746505642526   0.00587   0.02329    126.943    0.6148
    23      4032   3378627383570   3378627383570   0.00601   0.01982    102.475   -0.1022
    24      2844    578457433448    578457433448   0.00602   0.04445    133.613    1.1474
    25      5310    143952820368    143952820368   0.00614   0.00841     59.481    3.0537
    26      6649   2359256627314   2359256627314   0.00614   0.06246    116.856    1.0685
    27      1005    858073790998    858073790998   0.00625   0.02530    227.755    0.0814
    28      2912    628933340716    628933340716   0.00635   0.05154    135.987    1.9181
    29      1399   2630711139140   2630711139140   0.00640   0.12186     61.366    0.1760
    30      7192   2780295229058   2780295229058   0.00642   0.02748     51.902    3.6924

# ── R1_andR2  (30 halos) ──────────────────────────────
# Selection: smallest delta_2 (most gas-coherent within R1)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      1672   2565342063078   2565342063078   0.03597   0.00305    176.941    1.7871
     2      3485    574678674126    574678674126   0.02174   0.00314     57.676    3.3898
     3       279   1388901053880   1388901053880   0.00428   0.00358     59.472    4.4950
     4       156   1392326107832   1392326107832   0.00947   0.00367     76.841    3.5523
     5      9424   2658824804754   2658824804754   0.06710   0.00392    112.189    3.0549
     6      2812    286646397208    286646397208   0.03747   0.00406     58.003    0.9946
     7      8016   1187524032230   1187524032230   0.02457   0.00435    123.351    4.4338
     8      4142   2327990293922   2327990293922   0.02417   0.00477    104.202    0.6622
     9      4454   2482863955748   2482863955748   0.02758   0.00479     71.579    1.6692
    10      3027   1226874198964   1226874198964   0.01389   0.00483    138.653    1.6840
    11      5985    587224153324    587224153324   0.01991   0.00494    156.053    0.5769
    12      8819   2478407342554   2478407342554   0.02726   0.00497    192.483    0.3147
    13      8087   1067803195820   1067803195820   0.02179   0.00498     61.858    2.0720
    14      9139   2441018958874   2441018958874   0.00941   0.00519     94.631    2.5680
    15      8569    938566590192    938566590192   0.06283   0.00522     37.353    2.7995
    16      1387   2278576621838   2278576621838   0.05179   0.00524    137.529    1.0470
    17      4765   2588735529328   2588735529328   0.05043   0.00524     98.703    1.1786
    18        49    140421231998    140421231998   0.05629   0.00535    110.192    0.5248
    19      5596   1247997232620   1247997232620   0.02871   0.00542    235.277   -1.5313
    20      5165   1359632498620   1359632498620   0.01471   0.00544     63.680    2.2965
    21       137    845914939504    845914939504   0.02139   0.00549     69.201    2.2233
