# Full shortlist: 30 extreme halos per group (32 groups total)
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2), K_core<150 keV cm2 (R3), TPI>0 (R4)
# N per group: 30
#
# SECTION 1: Individual criteria (8 groups)
# SECTION 2: Pairwise criteria (24 groups: pairs {R1,R2},{R1,R3},{R1,R4},{R2,R3},{R2,R4},{R3,R4})
#

# ── R1  (group size: 4,640; showing 30 extreme) ─────────────────
# DM-relaxed (delta1 < 0.07); sorted by smallest delta_1
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      9208   2599833718698   2599833718698   0.00233   0.01721    121.170    0.5620
     2      1432   3608302269948   3608302269948   0.00238   0.07090    203.255   -1.7560
     3      7782   1797062113384   1797062113384   0.00296   0.01896    174.020    0.2922
     4      7105   3427664130838   3427664130838   0.00336   0.02760     33.350    3.1398
     5      7184   2433578635658   2433578635658   0.00371   0.03967    110.201    0.7322
     6      3692   1571042930150   1571042930150   0.00384   0.03708    209.132   -1.2152
     7      7898    412408425848    412408425848   0.00424   0.02385    196.224    1.9260
     8       279   1388901053880   1388901053880   0.00428   0.00358     59.472    4.4950
     9      8119    203074346212    203074346212   0.00433   0.05289     76.204    2.0773
    10        52    342984804718    342984804718   0.00443   0.01588    148.299    1.7148
    11      3637   1243080602076   1243080602076   0.00455   0.02418     98.142    0.6531
    12       167   1307893079794   1307893079794   0.00461   0.03679    261.143    1.0163
    13      7926    137476373468    137476373468   0.00462   0.02352    160.156    1.6849
    14      8189    858164652182    858164652182   0.00496   0.02239     43.277    2.5444
    15      3830   2013246450368   2013246450368   0.00504   0.04252    143.690    1.9024
    16      8906   3165542518618   3165542518618   0.00507   0.04578    119.868   -0.7630
    17      6312   2574827479256   2574827479256   0.00531   0.01715     76.301    2.5876
    18      7125   3800430266956   3800430266956   0.00534   0.04621    130.131    0.2693
    19      1342   2204260459444   2204260459444   0.00543   0.02201    126.502    0.5556
    20      7383   3893872368326   3893872368326   0.00546   0.05905   7502.251   -0.4533
    21      1700   2260559151562   2260559151562   0.00579   0.02825    152.232    0.5793
    22      7352   3746505642526   3746505642526   0.00587   0.02329    126.943    0.6148
    23      4032   3378627383570   3378627383570   0.00601   0.01982    102.475   -0.1022
    24      2844    578457433448    578457433448   0.00602   0.04445    133.613    1.1474
    25      5310    143952820368    143952820368   0.00614   0.00841     59.481    3.0537
    26      6649   2359256627314   2359256627314   0.00614   0.06246    116.856    1.0685
    27      1005    858073790998    858073790998   0.00625   0.02530    227.755    0.0814
    28      2912    628933340716    628933340716   0.00635   0.05154    135.987    1.9181
    29      1399   2630711139140   2630711139140   0.00640   0.12186     61.366    0.1760
    30      7192   2780295229058   2780295229058   0.00642   0.02748     51.902    3.6924

# ── notR1  (group size: 5,345; showing 30 extreme) ─────────────────
# DM-disturbed (delta1 >= 0.07); sorted by largest delta_1
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      9783   2562626579368   2562626579368   1.62041   0.07104    141.682    1.7201
     2      8802   2932851059276   2932851059276   1.53821   0.03548    351.736    0.7187
     3      2464   3276009233650   3276009233650   1.47181   0.06292    164.982   -0.6653
     4      7081   3518182023596   3518182023596   1.46662   0.01552     49.484    2.4406
     5      4558   3429421210866   3429421210866   1.42907   0.03784    157.786    0.5429
     6      3406   1447165754072   1447165754072   1.41830   0.03506     85.908    5.7649
     7      1017    406826138620    406826138620   1.22956   0.07214    162.205   -1.3333
     8      3562    483898552104    483898552104   1.18113   0.06335    149.406   -0.2078
     9       233   1625772634888   1625772634888   1.16589   0.03299    202.403   -1.2656
    10      7495    323734055832    323734055832   1.14625   0.01287    203.638    0.5636
    11      5259   1958798359968   1958798359968   1.13618   0.02068    227.270    0.1289
    12      4726   2089562865824   2089562865824   1.12771   0.03486    107.097    0.0305
    13      5369    732966709314    732966709314   1.09540   0.03519    116.217    1.6501
    14      8057   1110934735038   1110934735038   1.09317   0.03528    214.247    0.4289
    15      6098   1771533864352   1771533864352   1.07312   0.03471     68.344    1.2741
    16      7258   2327538602428   2327538602428   1.06078   0.05416    234.400    0.3279
    17      8795   2368606251746   2368606251746   1.04416   0.05509     95.003   -0.9220
